Department,Questions,Answers,url
Dependent Re-Verification,"How will employees know if their family members are removed from health, dental and/or premier vision benefits?","The DRV Deletion Notice mailed to employees 60 days before the end of their birth month informs them of the dependent deletion date if DRV documents are not submitted by the end of the employee's birth month. CalPERS will inform you during your birth month in writing if administratively removing your family members from health benefits. The notice will include Consolidated Omnibus Budget Reconciliation Act (COBRA) continuation of coverage information. In addition, when removing ineligible/unverified dependents from dental and/or premier vision benefits, department personnel offices will inform employees in writing, listing the dependent(s) that are disenrolled and the effective date. The department personnel offices shall also provide COBRA information to the family members within 30 days from their loss of coverage.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,What if departmental personnel Offices do not have a current Std. 692 (Dental Enrollment Form) in the Official Personnel File (OPF)?,"If the departmental personnel office cannot locate a current Std. 692 form in the OPF, they should check with the carrier to verify which dependents are currently enrolled or instruct the employee to print a copy of their enrolled dependents from their online profile on the carrier website. Once the continued eligibility of these dependents is re-verified through the DRV process, the departmental personnel office should have the employee complete a new Std. 692 to be maintained in the OPF moving forward.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,If an enrolled child turns 26 during the re-verification period how should the employee proceed?,"If the child's 26th birthdate coincides with the employee's re-verification cycle, CalPERS will administratively remove the child from health benefits upon the child turning age 26. Department Personnel Office must remove the child from dental and/or vision benefits, if enrolled",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,"During an employee’s re-verification cycle, one of the dependents obtained non-state sponsored health coverage. Can the employee remove the dependent from the state health plan?","Employees should contact their departmental personnel office immediately if they wish to remove a dependent due to a ""permissive qualifying event"" (e.g., family member obtains non-state sponsored health benefits, family member enters military, custody change for child under age 18, or child reaches age 18). The dependent should be removed due to a qualifying permissive event rather than ineligibility found during the re-verification process.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,"How should the employee respond if during the re-verification cycle, the employee receives a notice from CalPERS to recertify a parent-child relationship (PCR) dependent or a disabled child aged 26 and over?","The DRV is separate from the process to recertify a PCR dependent, or a disabled child aged 26 and over. The employee should follow the instructions according to the annual notice CalPERS provides to recertify these dependents.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,An employee needs to remove a dependent due to a qualifying event and receives a dependent re-verification notice. How should the employee proceed?,"Employees should notify their departmental personnel office immediately of any qualifying event that occurs during the re-verification period, such as divorce or termination of domestic partnership. In these situations, the dependent should be removed due to the qualifying event rather than ineligibility found during the re-verification.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,Where can employees and departmental personnel staff find more information on health and dental benefits?,"The CalPERS website contains health benefit information, and the CalHR Benefits website contains dental and premier vision benefit information.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,Whom can employees contact with additional questions?,Employees can contact their departmental personnel offices.,https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,Whom can employees contact if they disagree with the decisions from their departmental personnel offices on their dependent re-verification?,"Employees should contact their departmental personnel offices with questions regarding the DRV program. If the employee disagrees with the departmental personnel office's decision on the re-verification of their family members, the employee must submit their reasoning for disagreement, in writing along with any supporting documents, to their departmental contact. If the departmental contact cannot resolve the issue, they may submit a written appeal to CalHR at DRV@calhr.ca.gov for review.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,Whom can HR offices contact with additional questions?,"Departmental personnel offices can contact*: Benefits Division
Dependent Re-Verification Program, DRV Program Manager
916-322-0300
Dependentre-verificationprogram@calhr.ca.gov *Note: Please do not direct employees to the contact above. Employees must work directly with their departmental personnel office.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,What is the Dependent Re-Verification?,"The Dependent Re-verification (DRV) is the process of re-verifying the eligibility of spouses, domestic partners, children, stepchildren, and domestic partner children (family members) enrolled in state health, dental and/or premier vision benefits. Government Code section 19815.9 mandates re-verifying the eligibility of your family members. Government Code section 22959 authorizes extending this review to your family members enrolled in dental benefits. The bargaining unit contracts specify that your family members’ eligibility for dental benefits shall be the same as that prescribed for health benefits.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,How do I know which of my dependents are enrolled in dental and /or premier vision benefits?,"You may contact your departmental personnel office or visit the dental and/or vision carrier’s website and create an online profile. From your online profile, you can view who is enrolled on your plan(s).",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,Where do I send my dependent’s re-verification (DRV) documents to?,Submit all dependent re-verification documents directly to your Department’s Personnel Office.,https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,Will I be required to provide original documents?,"No. You should provide copies of the documents and write ""Not for Official Use"" on them",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,"Why are two documents required for re-verifying a spouse or domestic partner, instead of just the government issued marriage certificate or the Declaration of Domestic Partnership?","The first document establishes the life event allowing the enrollment of the dependent (e.g., marriage or registering as domestic partners), while the second required document substantiates that the relationship is current.",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
Dependent Re-Verification,May I redact sensitive information from the documents I submit?,"Yes. Employees are responsible for redacting sensitive information, not necessary for dependent re-verification purposes, from any applicable documents (such as tax returns).",https://calhr.benefitsprograms.info/state-employee/dependent-re-verification/
